"Chronic Absenteeism, Trend"
", Special Education Status"

"",,,"% Chronically Absent",,,,
"District","District Code","Special Education Status","2011-12","2012-13","2013-14","2014-15","2015-16"
"Achievement First Hartford Academy Inc. District","=""2880013""","Non-Special Education",7.3,3.0,5.4,9.3,9.0
"Achievement First Hartford Academy Inc. District","=""2880013""","Special Education",18.5,"*",13.0,22.0,19.2
"Amistad Academy District","=""2790013""","Non-Special Education",2.4,2.4,3.1,4.1,4.2
"Amistad Academy District","=""2790013""","Special Education","*","*",10.9,23.3,25.0
"Andover School District","=""0010011""","Non-Special Education","*",4.1,"*","*","*"
"Andover School District","=""0010011""","Special Education","*","*",0.0,"*","*"
"Ansonia School District","=""0020011""","Non-Special Education",11.3,13.3,10.4,15.5,14.0
"Ansonia School District","=""0020011""","Special Education",18.9,21.3,15.9,20.4,16.8
"Area Cooperative Educational Services","=""2440014""","Non-Special Education",9.5,9.8,12.1,10.7,8.9
"Area Cooperative Educational Services","=""2440014""","Special Education",34.0,35.1,36.2,35.5,32.4
"Ashford School District","=""0030011""","Non-Special Education",8.1,6.2,7.4,6.6,4.9
"Ashford School District","=""0030011""","Special Education",20.0,14.0,"*","*","*"
"Avon School District","=""0040011""","Non-Special Education",4.0,4.4,4.3,2.6,4.2
"Avon School District","=""0040011""","Special Education",6.6,9.9,9.9,7.4,7.0
"Barkhamsted School District","=""0050011""","Non-Special Education",3.6,3.8,3.2,"*",3.3
"Barkhamsted School District","=""0050011""","Special Education",0.0,"*","*","*","*"
"Berlin School District","=""0070011""","Non-Special Education",4.9,4.9,3.8,4.4,2.6
"Berlin School District","=""0070011""","Special Education",14.8,13.0,14.3,18.3,11.4
"Bethany School District","=""0080011""","Non-Special Education",2.9,4.4,3.8,3.7,3.5
"Bethany School District","=""0080011""","Special Education","*",14.3,11.5,14.6,14.8
"Bethel School District","=""0090011""","Non-Special Education",4.9,5.7,6.2,3.9,5.9
"Bethel School District","=""0090011""","Special Education",15.6,15.7,16.7,9.5,15.8
"Bloomfield School District","=""0110011""","Non-Special Education",6.5,7.0,7.0,7.6,7.7
"Bloomfield School District","=""0110011""","Special Education",15.6,14.5,12.3,17.4,15.3
"Bolton School District","=""0120011""","Non-Special Education",2.4,3.3,3.7,4.6,2.8
"Bolton School District","=""0120011""","Special Education","*",7.4,18.2,13.3,7.0
"Booker T. Washington Academy District","=""2950013""","Non-Special Education","N/A","N/A","N/A",30.3,19.4
"Booker T. Washington Academy District","=""2950013""","Special Education","N/A","N/A","N/A","*","*"
"Bozrah School District","=""0130011""","Non-Special Education",4.5,8.7,6.3,"*","*"
"Bozrah School District","=""0130011""","Special Education","*","*","*","*","*"
"Branford School District","=""0140011""","Non-Special Education",6.5,6.9,8.1,8.6,8.2
"Branford School District","=""0140011""","Special Education",13.5,14.4,13.0,13.6,17.3
"Brass City Charter School District","=""2900013""","Non-Special Education","N/A","N/A",12.3,10.4,8.1
"Brass City Charter School District","=""2900013""","Special Education","N/A","N/A","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Non-Special Education","*",1.8,2.3,2.5,3.8
"Bridgeport Achievement First District","=""2850013""","Special Education","*",10.5,9.2,9.7,13.5
"Bridgeport School District","=""0150011""","Non-Special Education",18.6,24.5,20.1,17.5,15.7
"Bridgeport School District","=""0150011""","Special Education",26.8,29.7,28.4,27.5,25.9
"Bristol School District","=""0170011""","Non-Special Education",10.1,8.7,9.9,8.9,6.9
"Bristol School District","=""0170011""","Special Education",18.8,17.9,21.0,19.7,16.6
"Brookfield School District","=""0180011""","Non-Special Education",4.4,1.7,3.7,3.8,2.0
"Brookfield School District","=""0180011""","Special Education",9.3,4.3,6.6,5.0,4.0
"Brooklyn School District","=""0190011""","Non-Special Education",5.5,6.3,2.8,4.2,2.3
"Brooklyn School District","=""0190011""","Special Education",17.3,11.3,16.5,16.7,"*"
"Canaan School District","=""0210011""","Non-Special Education",10.0,"*",11.6,"*",10.3
"Canaan School District","=""0210011""","Special Education","*","*","*","*","*"
"Canterbury School District","=""0220011""","Non-Special Education",3.4,6.2,3.8,2.3,2.3
"Canterbury School District","=""0220011""","Special Education","*","*",13.0,16.3,14.0
"Canton School District","=""0230011""","Non-Special Education",3.9,3.8,7.8,8.2,4.6
"Canton School District","=""0230011""","Special Education",10.3,13.1,20.2,17.8,13.9
"Capital Preparatory Harbor School Inc. District","=""2970013""","Non-Special Education","N/A","N/A","N/A","N/A",12.8
"Capital Preparatory Harbor School Inc. District","=""2970013""","Special Education","N/A","N/A","N/A","N/A","*"
"Capitol Region Education Council","=""2410014""","Non-Special Education",13.0,13.5,13.4,14.0,10.2
"Capitol Region Education Council","=""2410014""","Special Education",21.2,18.1,15.2,20.0,17.8
"Chaplin School District","=""0240011""","Non-Special Education",10.1,7.5,7.1,12.0,9.7
"Chaplin School District","=""0240011""","Special Education","*","*","*","*","*"
"Cheshire School District","=""0250011""","Non-Special Education",4.4,3.5,4.2,3.0,3.8
"Cheshire School District","=""0250011""","Special Education",14.1,9.3,13.3,12.4,16.2
"Chester School District","=""0260011""","Non-Special Education",5.0,9.1,3.3,"*",3.3
"Chester School District","=""0260011""","Special Education","*","*","*",0.0,0.0
"Clinton School District","=""0270011""","Non-Special Education",9.6,7.2,6.1,5.9,4.7
"Clinton School District","=""0270011""","Special Education",18.1,12.6,13.4,14.2,10.6
"Colchester School District","=""0280011""","Non-Special Education",1.9,4.9,4.3,3.0,4.7
"Colchester School District","=""0280011""","Special Education",6.6,14.4,11.3,9.6,12.9
"Colebrook School District","=""0290011""","Non-Special Education","*","*","*","*",0.0
"Colebrook School District","=""0290011""","Special Education","*","*","*","*","*"
"Columbia School District","=""0300011""","Non-Special Education",6.2,4.1,0.0,4.2,2.6
"Columbia School District","=""0300011""","Special Education",19.6,"*","*",11.1,10.1
"Common Ground High School District","=""2680013""","Non-Special Education",12.9,14.9,15.4,14.2,9.2
"Common Ground High School District","=""2680013""","Special Education","*","*",23.1,20.7,21.2
"Connecticut Technical High School System","=""9000016""","Non-Special Education",10.2,12.2,12.9,13.6,12.8
"Connecticut Technical High School System","=""9000016""","Special Education",9.6,10.1,13.1,14.2,11.5
"Cooperative Educational Services","=""2430014""","Non-Special Education",9.5,7.2,4.9,7.2,6.8
"Cooperative Educational Services","=""2430014""","Special Education",24.4,29.4,26.3,29.5,25.3
